date,year,month,hour,season,weekday,is_holiday,working_day,weather_sit,is_covid,temp,wind,humidity,total_count
2018-01-06,2018,1,3,1,5,0,0,1.0,0,-2.663584959913345,0.6531050875767024,-1.071817918796501,6.0
2018-01-06,2018,1,4,1,5,0,0,1.0,0,-2.663584959913345,0.6531050875767024,-1.2842096766268571,3.0
2018-01-06,2018,1,5,1,5,0,0,1.0,0,-2.767151116422411,1.2715048043408355,-1.071817918796501,5.0
2018-01-06,2018,1,6,1,5,0,0,1.0,0,-2.767151116422411,0.6531050875767024,-1.071817918796501,5.0
2018-01-06,2018,1,7,1,5,0,0,1.0,0,-2.767151116422411,0.15838531416539592,-0.9125241004237338,21.0
2018-01-06,2018,1,8,1,5,0,0,1.0,0,-2.663584959913345,0.40574520087104915,-1.071817918796501,55.0
2018-01-06,2018,1,9,1,5,0,0,1.0,0,-2.456452646895212,0.6531050875767024,-1.4435034949996244,88.0
2018-01-06,2018,1,10,1,5,0,0,3.0,0,-2.456452646895212,1.5188646910464887,-1.4435034949996244,125.0
2018-01-06,2018,1,11,1,5,0,0,1.0,0,-2.352886490386146,2.6319841812219282,-1.5496993739148024,132.0
2018-01-06,2018,1,12,1,5,0,0,1.0,0,-2.352886490386146,1.766224577752142,-1.7089931922875696,143.0
2018-01-06,2018,1,13,1,5,0,0,1.0,0,-2.2493203338770797,2.1372644078106218,-1.8682870106603369,127.0
2018-01-06,2018,1,14,1,5,0,0,1.0,0,-2.2493203338770797,1.766224577752142,-1.8682870106603369,121.0
2018-01-06,2018,1,15,1,5,0,0,1.0,0,-2.2493203338770797,1.766224577752142,-1.8682870106603369,143.0
2018-01-06,2018,1,16,1,5,0,0,1.0,0,-2.352886490386146,1.766224577752142,-1.7089931922875696,114.0
2018-01-06,2018,1,17,1,5,0,0,1.0,0,-2.352886490386146,0.6531050875767024,-1.7089931922875696,73.0
2018-01-06,2018,1,18,1,5,0,0,1.0,0,-2.456452646895212,0.776785030929529,-1.6027973133723914,96.0
2018-01-06,2018,1,19,1,5,0,0,1.0,0,-2.456452646895212,0.15838531416539592,-1.4435034949996244,54.0
2018-01-06,2018,1,20,1,5,0,0,1.0,0,-2.456452646895212,1.0241449176351822,-1.4435034949996244,53.0
